TAIR Accession	Locus	Gene Model	Gene Type	Description	Other Name(Type)	Keywords	Is full length cDNA
Gene:504954253	AT5G34861	AT5G34861.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 4.8e-10 P-value blast match to gb|AAG52949.1| gag/pol polyprotein (Endovir1-1) (Arabidopsis thaliana) (Ty1_Copia-family);(source:TAIR10)		 	false
Gene:504954255	AT5G34866	AT5G34866.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 5.8e-39 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:3433342	AT1G42270	AT1G42270.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:3433347	AT1G42130	AT1G42130.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Tnp2/En/Spm), has a 1.6e-236 P-value blast match to gb|AAG52024.1|AC022456_5 Tam1-homologous transposon protein TNP2, putative;(source:TAIR10)		 	false
Gene:3434123	AT1G24938	AT1G24938.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G35100.1);(source:TAIR10)		 flower, flowering stage	false
Gene:3435331	AT1G37030	AT1G37030.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 5.1e-17 P-value blast match to GB:NP_038605 L1 repeat, Tf subfamily, member 30 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:3435606	AT1G41795	AT1G41795.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 3.6e-264 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504952819	AT5G45605	AT5G45605.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 9.0e-230 P-value blast match to gb|AAO73527.1| gag-pol polyprotein (Glycine max) (SIRE1) (Ty1_Copia-family);(source:TAIR10)		 	false
Gene:1005714284	AT4G06732	AT4G06732.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006229502	AT5G30218	AT5G30218.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 3.3e-30 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006228693	AT3G31422	AT3G31422.1	transposable_element_gene	transposable_element_gene;(source:Araport11);hAT-like transposase family (hobo/Ac/Tam3), has a 4.9e-70 P-value blast match to GB:CAA38906 Tam3-transposase (hAT-element) (Antirrhinum majus);(source:TAIR10)		 	false
Gene:1006228739	AT3G32033	AT3G32033.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 9.2e-19 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006228817	AT4G06619	AT4G06619.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Ptta/En/Spm), has a 1.0e-28 P-value blast match to At5g59620.1/14-257 CACTA-like transposase family (Ptta/En/Spm) (CACTA-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504953023	AT5G31355	AT5G31355.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 9.8e-153 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	true
Gene:504953026	AT5G32626	AT5G32626.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 2.5e-45 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504954269	AT5G33150	AT5G33150.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, similar to contains similarity to Arabidopsis thaliana hypothetical protein             (GB:AC004483);(source:TAIR10)		 	false
Gene:504953115	AT4G07518	AT4G07518.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Ptta/En/Spm), has a 4.9e-32 P-value blast match to At5g29026.1/8-244 CACTA-like transposase family (Ptta/En/Spm) (CACTA-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1005715293	AT1G40133	AT1G40133.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G06603.1);(source:TAIR10)		 	false
Gene:504953186	AT4G12423	AT4G12423.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 4.8e-26 P-value blast match to GB:AAA57005 Hopscotch polyprotein (Ty1_Copia-element) (Zea mays);(source:TAIR10)		 	false
Gene:504953187	AT4G12426	AT4G12426.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 1.1e-10 P-value blast match to GB:CAA26446 ORF2 (Ty1_Copia-element) (Drosophila melanogaster);(source:TAIR10)		 	false
Gene:504953215	AT4G04396	AT4G04396.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G43920.1);(source:TAIR10)		 	false
Gene:504953474	AT3G42478	AT3G42478.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 3.5e-62 P-value blast match to Q9S9L6 /322-461 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:504952979	AT5G31087	AT5G31087.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.4e-153 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	true
Gene:504953024	AT5G31637	AT5G31637.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 2.4e-14 P-value blast match to GB:AAD27547 polyprotein (Gypsy_Ty3-element) (Oryza sativa subsp. indica);(source:TAIR10)		 	false
Gene:504953043	AT5G27885	AT5G27885.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 9.4e-260 P-value blast match to GB:AAD27547 polyprotein (Gypsy_Ty3-element) (Oryza sativa subsp. indica);(source:TAIR10)		 	false
Gene:504954279	AT5G33075	AT5G33075.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 4.5e-216 P-value blast match to GB:AAD12998 pol polyprotein (Ty1_Copia-element) (Zea mays);(source:TAIR10)		 	false
Gene:504953135	AT4G05073	AT4G05073.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 5.1e-300 P-value blast match to GB:CAA31653 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504953390	AT4G07331	AT4G07331.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 6.1e-23 P-value blast match to GB:CAA72990 open reading frame 2 (Ty1_Copia-element) (Brassica oleracea);(source:TAIR10)		 	false
Gene:504953406	AT4G07725	AT4G07725.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 4.8e-193 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:504953529	AT3G42835	AT3G42835.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retroelement reverse transcriptase -related, temporary automated functional assignment;(source:TAIR10)		 	false
Gene:2828395	AT2G10605	AT2G10605.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to putative reverse transcriptase,  blastp match of 27%25 identity and 2.7e-06 P-value to GP|20279456|gb|AAM18736.1|AC092548_14|AC092548 putative reverse transcriptase {Oryza sativa (japonica cultivar-group)};(source:TAIR10)		 	false
Gene:2829079	AT3G32305	AT3G32305.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 0. P-value blast match to GB:BAA22288 pol polyprotein (Ty1_Copia-element) (Oryza australiensis)GB:BAA22288 polyprotein (Ty1_Copia-element) (Oryza australiensis)gi|2443320|dbj|BAA22288.1| polyprotein (RIRE1) (Oryza australiensis) (Ty1_Copia-element);(source:TAIR10)		 	false
Gene:504953768	AT2G07744	AT2G07744.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to putative helicase, low similarity to SP|Q9UUA2 DNA repair and recombination protein pif1, mitochondrial precursor {Schizosaccharomyces pombe};(source:TAIR10)		 	false
Gene:2829575	AT3G30746	AT3G30746.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Ptta/En/Spm), has a 2.6e-53 P-value blast match to At5g29026.1/8-244 CACTA-like transposase family (Ptta/En/Spm) (CACTA-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2018659	AT1G43200	AT1G43200.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein, contains Pfam profile PF03384: Drosophila protein of unknown function, DUF287;(source:TAIR10)		 	false
Gene:2025569	AT1G08740	AT1G08740.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to Ulp1 protease family protein [Arabidopsis thaliana] (TAIR:AT2G29240.1);(source:TAIR10)		 	false
Gene:2029116	AT1G43880	AT1G43880.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G30810.1);(source:TAIR10)		 	false
Gene:2035887	AT1G42450	AT1G42450.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 4.3e-96 P-value blast match to Q9SHN7 /450-633 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2033542	AT1G41840	AT1G41840.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 2.2e-23 P-value blast match to GB:AAB41224 ORF2 (LINE-element) (Rattus norvegicus);(source:TAIR10)		 	false
Gene:2036679	AT1G42650	AT1G42650.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1005027708	AT2G11030	AT2G11030.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2051949	AT2G19840	AT2G19840.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 3.5e-301 P-value blast match to GB:CAA31653 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2052914	AT2G16170	AT2G16170.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G12110.1);(source:TAIR10)		 	false
Gene:2053036	AT2G10310	AT2G10310.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.1e-31 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2049917	AT2G11430	AT2G11430.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 0. P-value blast match to GB:AAD27547 polyprotein (Gypsy_Ty3-element) (Oryza sativa subsp. indica);(source:TAIR10)		 	false
Gene:2053357	AT2G07540	AT2G07540.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 7.8e-90 P-value blast match to gb|AAL06421.1|AF378079_1 reverse transcriptase (Athila4) (Arabidopsis thaliana) (Gypsy_Ty3-family);(source:TAIR10)		 	false
Gene:3438374	AT3G33071	AT3G33071.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.9e-280 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:504953675	AT3G44093	AT3G44093.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 3.4e-162 P-value blast match to GB:CAA73042 polyprotein (Gypsy_Ty3-element) (Ananas comosus);(source:TAIR10)		 	false
Gene:2830322	AT3G33169	AT3G33169.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Tnp2/En/Spm), has a 2.0e-140 P-value blast match to GB:CAA40555 TNP2 (CACTA-element) (Antirrhinum majus);(source:TAIR10)		 	false
Gene:504953892	AT2G01037	AT2G01037.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 5.0e-229 P-value blast match to GB:AAD27547 polyprotein (Gypsy_Ty3-element) (Oryza sativa subsp. indica);(source:TAIR10)		 	false
Gene:1005714106	AT4G06652	AT4G06652.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Ptta/En/Spm), has a 4.5e-31 P-value blast match to At5g29026.1/8-244 CACTA-like transposase family (Ptta/En/Spm) (CACTA-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:3433352	AT1G42210	AT1G42210.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Ptta/En/Spm), has a 6.3e-57 P-value blast match to At1g36190.1/92-340 CACTA-like transposase family (Ptta/En/Spm) (CACTA-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2830729	AT3G29768	AT3G29768.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 1.4e-85 P-value blast match to GB:BAA11674 ORF(AA 1-1338) (Ty1_Copia-element) (Nicotiana tabacum);(source:TAIR10)		 	false
Gene:504952684	AT5G35725	AT5G35725.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 4.2e-39 P-value blast match to GB:AAB41224 ORF2 (LINE-element) (Rattus norvegicus);(source:TAIR10)		 	false
Gene:1005714000	AT4G06616	AT4G06616.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2831019	AT3G32901	AT3G32901.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 7.2e-81 P-value blast match to Q9SKL7 /23-182 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:504954060	AT1G38140	AT1G38140.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Ptta/En/Spm), has a 9.2e-38 P-value blast match to At5g29026.1/8-244 CACTA-like transposase family (Ptta/En/Spm) (CACTA-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1005714111	AT4G06640	AT4G06640.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 6.4e-159 P-value blast match to GB:AAD11615 prpol (gypsy_Ty3-element) (Zea mays);(source:TAIR10)		 	false
Gene:3433372	AT1G42290	AT1G42290.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to putative helicase, similar to putative helicase GI:4585936 from (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006229658	AT1G36890	AT1G36890.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 3.2e-20 P-value blast match to GB:NP_038607 L1 repeat, Tf subfamily, member 9 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:2054717	AT2G07710	AT2G07710.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G32410.2);(source:TAIR10)		 	false
Gene:2058042	AT2G14300	AT2G14300.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, similar to putative helicase,  blastp match of 40%25 identity and 2.5e-288 P-value to GP|14140296|gb|AAK54302.1|AC034258_20|AC034258 putative helicase {Oryza sativa (japonica cultivar-group)};(source:TAIR10)		 	false
Gene:2058978	AT2G05490	AT2G05490.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 4.4e-88 P-value blast match to Q9SL18 /349-510 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2059062	AT2G19100	AT2G19100.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 3.2e-33 P-value blast match to GB:AAB41224 ORF2 (LINE-element) (Rattus norvegicus);(source:TAIR10)		 	false
Gene:2078565	AT3G42900	AT3G42900.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 3.7e-44 P-value blast match to Q9SHN7 /450-633 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2093354	AT3G30440	AT3G30440.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to Ulp1 protease family protein [Arabidopsis thaliana] (TAIR:AT3G47260.1);(source:TAIR10)		 carpel, hypocotyl, petal differentiation and expansion stage, plant sperm cell, root, stem	false
Gene:2093629	AT3G29600	AT3G29600.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G54926.1);(source:TAIR10)		 guard cell	false
Gene:2097065	AT3G42350	AT3G42350.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G06095.1);(source:TAIR10)		 	false
Gene:2091347	AT3G28110	AT3G28110.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT5G27590.1);(source:TAIR10)		 	false
Gene:2099773	AT3G31410	AT3G31410.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G32140.1);(source:TAIR10)		 	false
Gene:2092569	AT3G15600	AT3G15600.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT2G07770.1);(source:TAIR10)		 	false
Gene:2092619	AT3G30550	AT3G30550.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G07450.1);(source:TAIR10)		 	false
Gene:1009022275	AT4G06637	AT4G06637.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G07523.1);(source:TAIR10)		 	true
Gene:1006228043	AT2G11507	AT2G11507.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006228175	AT2G06045	AT2G06045.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 2.2e-12 P-value blast match to GB:AAC02672 polyprotein (Ty1_Copia-element) (Arabidopsis arenosa);(source:TAIR10)		 guard cell	false
Gene:1006228189	AT2G09956	AT2G09956.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006227843	AT3G43425	AT3G43425.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 2.2e-17 P-value blast match to GB:NP_038602 L1 repeat, Tf subfamily, member 18 (LINE-element) (Mus musculus);(source:TAIR10)		 	false
Gene:1006228731	AT3G60565	AT3G60565.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 7.6e-249 P-value blast match to dbj|BAA78425.1| polyprotein (Arabidopsis thaliana) (AtRE1) (Ty1_Copia-element);(source:TAIR10)		 	false
Gene:1006228946	AT4G02314	AT4G02314.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Ptta/En/Spm), has a 2.7e-126 P-value blast match to At5g36655.1/81-333 CACTA-like transposase family (Ptta/En/Spm) (CACTA-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006229063	AT5G35918	AT5G35918.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 7.6e-17 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006229101	AT5G32431	AT5G32431.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006228219	AT2G07791	AT2G07791.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006229031	AT4G03732	AT4G03732.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006229140	AT5G32576	AT5G32576.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006229141	AT5G32521	AT5G32521.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Tnp2/En/Spm), has a 0. P-value blast match to gb|AAG52024.1|AC022456_5 Tam1-homologous transposon protein TNP2, putative;(source:TAIR10)		 	false
Gene:1006229191	AT5G26283	AT5G26283.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 5.7e-145 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006229432	AT5G32489	AT5G32489.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2008108	AT1G48710	AT1G48710.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 1.1e-252 P-value blast match to gb|AAO73529.1| gag-pol polyprotein (Glycine max) (SIRE1) (Ty1_Copia-family);(source:TAIR10)		 guard cell	false
Gene:3433584	AT1G34740	AT1G34740.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to Ulp1 protease family protein [Arabidopsis thaliana] (TAIR:AT4G05280.1);(source:TAIR10)		 	false
Gene:2028490	AT1G49090	AT1G49090.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Ptta/En/Spm), has a 6.7e-41 P-value blast match to At5g29026.1/8-244 CACTA-like transposase family (Ptta/En/Spm) (CACTA-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:3435638	AT1G41790	AT1G41790.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 0.00017 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:2041719	AT2G11640	AT2G11640.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, replication protein A1;(source:TAIR10)		 	false
Gene:2052691	AT2G11780	AT2G11780.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2141235	AT4G21360	AT4G21360.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 0. P-value blast match to GB:CAA31653 polyprotein (Ty1_Copia-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:3442208	AT5G51320	AT5G51320.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT3G42556.1);(source:TAIR10)		 	false
Gene:2133671	AT4G09370	AT4G09370.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT1G23930.1);(source:TAIR10)	VANC6; VANDAL C 6	 	false
Gene:1005713779	AT5G30440	AT5G30440.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Ptta/En/Spm), has a 4.6e-22 P-value blast match to At5g36655.1/81-333 CACTA-like transposase family (Ptta/En/Spm) (CACTA-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2824209	AT1G34600	AT1G34600.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family, has a 1.1e-135 P-value blast match to GB:AAD19359 polyprotein (gypsy_Ty3-element) (Sorghum bicolor);(source:TAIR10)		 	false
Gene:2825536	AT1G43785	AT1G43785.1	transposable_element_gene	transposable_element_gene;(source:Araport11);copia-like retrotransposon family, has a 5.7e-174 P-value blast match to gb|AAG52949.1| gag/pol polyprotein (Endovir1-1) (Arabidopsis thaliana) (Ty1_Copia-family);(source:TAIR10)		 	false
Gene:2825583	AT1G36490	AT1G36490.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:2825594	AT1G36520	AT1G36520.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 4.4e-307 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2826759	AT1G40070	AT1G40070.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 7.4e-78 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2826617	AT1G41710	AT1G41710.1	transposable_element_gene	transposable_element_gene;(source:Araport11);gypsy-like retrotransposon family (Athila), has a 1.5e-247 P-value blast match to GB:CAA57397 Athila ORF 1 (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:1006229113	AT5G04235	AT5G04235.1	transposable_element_gene	transposable_element_gene;(source:Araport11);non-LTR retrotransposon family (LINE), has a 6.2e-38 P-value blast match to GB:NP_038602 L1 repeat, Tf subfamily, member 18 (LINE-element) (Mus musculus);(source:TAIR10)		 guard cell	false
Gene:1006229158	AT5G28655	AT5G28655.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006227931	AT5G35736	AT5G35736.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, hypothetical protein;(source:TAIR10)		 	false
Gene:1006229428	AT5G32487	AT5G32487.1	transposable_element_gene	transposable_element_gene;(source:Araport11);CACTA-like transposase family (Tnp1/En/Spm), has a 2.4e-71 P-value blast match to ref|NP_189784.1| TNP1-related protein (Arabidopsis thaliana) (CACTA-element);(source:TAIR10)		 	false
Gene:2018614	AT1G43230	AT1G43230.1	transposable_element_gene	transposable_element_gene;(source:Araport11);similar to unknown protein [Arabidopsis thaliana] (TAIR:AT4G07523.1);(source:TAIR10)		 M germinated pollen stage, pollen, pollen tube cell	false
Gene:2026005	AT1G59770	AT1G59770.1	transposable_element_gene	transposable_element_gene;(source:Araport11);hAT-like transposase family (hobo/Ac/Tam3), has a 5.2e-49 P-value blast match to GB:AAD24567 transposase Tag2 (hAT-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2034304	AT1G36090	AT1G36090.1	transposable_element_gene	transposable_element_gene;(source:Araport11);Mutator-like transposase family, has a 1.2e-74 P-value blast match to Q9SI25 /181-349 Pfam PF03108 MuDR family transposase (MuDr-element domain);(source:TAIR10)		 	false
Gene:2039900	AT2G10410	AT2G10410.1	transposable_element_gene	Member of Sadhu non-coding retrotransposon family	SADHU NON-CODING RETROTRANSPOSON 1-1; SADHU1-1	 guard cell	true
Gene:2041793	AT2G15160	AT2G15160.1	transposable_element_gene	transposable_element_gene;(source:Araport11);hAT-like transposase family (hobo/Ac/Tam3), has a 1.8e-86 P-value blast match to GB:AAD24567 transposase Tag2 (hAT-element) (Arabidopsis thaliana);(source:TAIR10)		 	false
Gene:2045973	AT2G12000	AT2G12000.1	transposable_element_gene	transposable_element_gene;(source:Araport11);pseudogene, fragment of a MADS-box protein;(source:TAIR10)		 	false
